dataset,task,model,model_path,trained_this_run,n_dev,n_test,n_folds,test_rmse,test_mae,test_oos_r2,test_directional_accuracy,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,model_family,exploratory,light_cv_enabled,rmse_cv_mean,rmse_cv_std,mae_cv_mean,mae_cv_std,oos_r2_cv_mean,oos_r2_cv_std,directional_accuracy_cv_mean,directional_accuracy_cv_std,test_brier,test_log_loss,test_positive_rate_pred
dataset_volatility.csv,regression,elastic_net_a01_l05,models_saved/dataset_volatility__elastic_net_a01_l05.pkl,False,3175,794,125,0.005903338608195937,0.0035809576506707066,-0.004152934428546473,1.0,,,,,,,,,,,,,,,,,,,
dataset_volatility.csv,regression,elastic_net_a01_l08,models_saved/dataset_volatility__elastic_net_a01_l08.pkl,False,3175,794,125,0.005903338608195937,0.0035809576506707066,-0.004152934428546473,1.0,,,,,,,,,,,,,,,,,,,
dataset_volatility.csv,regression,elastic_net_a1_l05,models_saved/dataset_volatility__elastic_net_a1_l05.pkl,False,3175,794,125,0.005903338608195937,0.0035809576506707066,-0.004152934428546473,1.0,,,,,,,,,,,,,,,,,,,
dataset_volatility.csv,regression,svr_rbf_c1_g01,models_saved/dataset_volatility__svr_rbf_c1_g01.pkl,False,3175,794,125,0.007784020602916573,0.006358300250605566,-0.7458721057605759,1.0,,,,,,,,,,,,,,,,,,,
dataset_volatility.csv,regression,svr_rbf_c10_g01,models_saved/dataset_volatility__svr_rbf_c10_g01.pkl,False,3175,794,125,0.007784020602916573,0.006358300250605566,-0.7458721057605759,1.0,,,,,,,,,,,,,,,,,,,
dataset_volatility.csv,regression,svr_rbf_c10_g001,models_saved/dataset_volatility__svr_rbf_c10_g001.pkl,False,3175,794,125,0.006426147624357263,0.004754773971292051,-0.18988740890446798,1.0,,,,,,,,,,,,,,,,,,,
dataset_volatility.csv,regression,rf_d4_leaf3,models_saved/dataset_volatility__rf_d4_leaf3.pkl,False,3175,794,125,0.005435472340461579,0.003074688106253583,0.14870701852346724,1.0,,,,,,,,,,,,,,,,,,,
dataset_volatility.csv,regression,rf_d6_leaf5,models_saved/dataset_volatility__rf_d6_leaf5.pkl,False,3175,794,125,0.005469330462754264,0.003090393426072598,0.13806840190988745,1.0,,,,,,,,,,,,,,,,,,,
dataset_volatility.csv,regression,rf_d8_leaf10,models_saved/dataset_volatility__rf_d8_leaf10.pkl,False,3175,794,125,0.005404522826186753,0.0031150929279799774,0.15837392236875192,1.0,,,,,,,,,,,,,,,,,,,
dataset_volatility.csv,regression,xgb_d3_lr005,models_saved/dataset_volatility__xgb_d3_lr005.pkl,False,3175,794,125,0.0051541740130294335,0.0030517521667705817,0.23453977886373756,1.0,,,,,,,,,,,,,,,,,,,
dataset_volatility.csv,regression,xgb_d5_lr005,models_saved/dataset_volatility__xgb_d5_lr005.pkl,False,3175,794,125,0.005030387798721508,0.0030446855415083864,0.2708659063137374,1.0,,,,,,,,,,,,,,,,,,,
dataset_volatility.csv,regression,xgb_d5_lr01,models_saved/dataset_volatility__xgb_d5_lr01.pkl,False,3175,794,125,0.005047337507055434,0.0031195739480230555,0.2659440467422769,1.0,,,,,,,,,,,,,,,,,,,
dataset_regime.csv,classification,logit_enet_c01_l02,models_saved/dataset_regime__logit_enet_c01_l02.pkl,False,3175,794,125,,,,,0.5680100755667506,0.3953488372093023,0.425,0.40963855421686746,0.5786548082267927,,,,,,,,,,,,,,
dataset_regime.csv,classification,logit_enet_c1_l05,models_saved/dataset_regime__logit_enet_c1_l05.pkl,False,3175,794,125,,,,,0.5667506297229219,0.3954248366013072,0.43214285714285716,0.4129692832764505,0.5794747081712062,,,,,,,,,,,,,,
dataset_regime.csv,classification,logit_enet_c10_l08,models_saved/dataset_regime__logit_enet_c10_l08.pkl,False,3175,794,125,,,,,0.5642317380352645,0.39215686274509803,0.42857142857142855,0.40955631399317405,0.5801625903279599,,,,,,,,,,,,,,
dataset_regime.csv,classification,svc_rbf_c1_g01,models_saved/dataset_regime__svc_rbf_c1_g01.pkl,False,3175,794,125,,,,,0.5969773299748111,0.43197278911564624,0.45357142857142857,0.4425087108013937,0.572568093385214,,,,,,,,,,,,,,
dataset_regime.csv,classification,svc_rbf_c10_g01,models_saved/dataset_regime__svc_rbf_c10_g01.pkl,False,3175,794,125,,,,,0.5680100755667506,0.40425531914893614,0.475,0.4367816091954023,0.555311978877154,,,,,,,,,,,,,,
dataset_regime.csv,classification,svc_rbf_c10_g001,models_saved/dataset_regime__svc_rbf_c10_g001.pkl,False,3175,794,125,,,,,0.5894206549118388,0.4094488188976378,0.37142857142857144,0.3895131086142322,0.5594149527515286,,,,,,,,,,,,,,
dataset_regime.csv,classification,rf_d4_leaf3,models_saved/dataset_regime__rf_d4_leaf3.pkl,False,3175,794,125,,,,,0.6473551637279596,0.5,0.37857142857142856,0.43089430894308944,0.6183157309616454,,,,,,,,,,,,,,
dataset_regime.csv,classification,rf_d6_leaf5,models_saved/dataset_regime__rf_d6_leaf5.pkl,False,3175,794,125,,,,,0.6335012594458438,0.47555555555555556,0.3821428571428571,0.42376237623762375,0.607274874930517,,,,,,,,,,,,,,
dataset_regime.csv,classification,rf_d8_leaf10,models_saved/dataset_regime__rf_d8_leaf10.pkl,False,3175,794,125,,,,,0.6209068010075567,0.45454545454545453,0.375,0.410958904109589,0.6022859922178989,,,,,,,,,,,,,,
dataset_regime.csv,classification,xgbc_d3_lr005,models_saved/dataset_regime__xgbc_d3_lr005.pkl,False,3175,794,125,,,,,0.6120906801007556,0.4406779661016949,0.37142857142857144,0.40310077519379844,0.5668010005558644,,,,,,,,,,,,,,
dataset_regime.csv,classification,xgbc_d5_lr005,models_saved/dataset_regime__xgbc_d5_lr005.pkl,False,3175,794,125,,,,,0.6032745591939547,0.43137254901960786,0.39285714285714285,0.411214953271028,0.5696984435797665,,,,,,,,,,,,,,
dataset_regime.csv,classification,xgbc_d5_lr01,models_saved/dataset_regime__xgbc_d5_lr01.pkl,False,3175,794,125,,,,,0.5894206549118388,0.41843971631205673,0.42142857142857143,0.4199288256227758,0.5693996664813785,,,,,,,,,,,,,,
dataset_return.csv,regression,tft_small,models_saved_tft/dataset_return__tft_small.pt,True,3175,794,5,0.01320409530596526,0.010273728350506373,-0.7349800165503209,0.5604534005037783,,,,,,tft,False,True,0.01666717091333777,0.0038318958027267576,0.013506298474161526,0.003366765498633145,-0.16362406658760942,0.09849764353123389,0.43076923076923085,0.042132504423474326,,,
dataset_return.csv,regression,tft_medium,models_saved_tft/dataset_return__tft_medium.pt,True,3175,794,5,0.010462047314926278,0.007614394982588249,-0.08920728111013232,0.43828715365239296,,,,,,tft,False,True,0.01632039597681472,0.0036629783812107785,0.013448817790665018,0.003372782933597583,-0.12037277771396837,0.14350091857564776,0.5076923076923077,0.12871692715908856,,,
dataset_return.csv,regression,tft_large,models_saved_tft/dataset_return__tft_large.pt,True,3175,794,5,0.010583360756999172,0.0075457820327036705,-0.11461369990835668,0.48866498740554154,,,,,,tft,False,True,0.018333570442482607,0.005478627904470858,0.014471145507503447,0.004175087261434673,-0.4395739912046114,0.591856131244322,0.5076923076923078,0.13973770865065346,,,
dataset_volatility.csv,regression,tft_small,models_saved_tft/dataset_volatility__tft_small.pt,True,3175,794,5,0.005822972131589651,0.0036234189006992584,0.023001496148025047,1.0,,,,,,tft,False,True,0.007182924504444435,0.002726964756807719,0.0056252161685663915,0.0025545529205314313,-1.2385766367581144,0.9830499752873625,1.0,0.0,,,
dataset_volatility.csv,regression,tft_medium,models_saved_tft/dataset_volatility__tft_medium.pt,True,3175,794,5,0.006441679287380307,0.004206161423582204,-0.19564615880295078,0.9987405541561712,,,,,,tft,False,True,0.006719651201697398,0.002099366934329742,0.0057741759918057,0.0020371805336195747,-0.9792071770788299,0.676795538257626,1.0,0.0,,,
dataset_volatility.csv,regression,tft_large,models_saved_tft/dataset_volatility__tft_large.pt,True,3175,794,5,0.0048311903749160895,0.0029084314672822974,0.3274682714981203,1.0,,,,,,tft,False,True,0.005296026740342097,0.00038482195002947873,0.004239793279423164,0.00034876007636039814,-0.35464791715717614,0.5993919103409125,1.0,0.0,,,
dataset_return.csv,regression,tcn_small,models_saved_deep/dataset_return__tcn_small.pt,False,3160,790,124,0.013384967126356572,0.00945847388356924,-0.7930221557617188,0.47848101265822784,,,,,,deep_learning,,,,,,,,,,,,,
dataset_return.csv,regression,tcn_medium,models_saved_deep/dataset_return__tcn_medium.pt,False,3160,790,124,0.011227774556037675,0.008294312283396721,-0.26164865493774414,0.44050632911392407,,,,,,deep_learning,,,,,,,,,,,,,
dataset_return.csv,regression,tcn_large,models_saved_deep/dataset_return__tcn_large.pt,False,3160,790,124,0.009950556470477408,0.006870408542454243,0.009063541889190674,0.5329113924050632,,,,,,deep_learning,,,,,,,,,,,,,
dataset_return.csv,regression,nbeats_small,models_saved_deep/dataset_return__nbeats_small.pt,False,3160,790,124,0.012447613787424509,0.00922149233520031,-0.550683856010437,0.5101265822784811,,,,,,deep_learning,,,,,,,,,,,,,
dataset_return.csv,regression,nbeats_medium,models_saved_deep/dataset_return__nbeats_medium.pt,False,3160,790,124,0.01267786500589034,0.00910730380564928,-0.6085823774337769,0.4506329113924051,,,,,,deep_learning,,,,,,,,,,,,,
dataset_return.csv,regression,nbeats_large,models_saved_deep/dataset_return__nbeats_large.pt,False,3160,790,124,0.010831588209008132,0.007984466850757599,-0.17418181896209717,0.44556962025316454,,,,,,deep_learning,,,,,,,,,,,,,
dataset_return.csv,regression,kimi_small,models_saved_deep/dataset_return__kimi_small.pt,False,3160,790,124,0.017736112392916913,0.013464304618537426,-2.148240566253662,0.5455696202531646,,,,,,deep_learning,,,,,,,,,,,,,
dataset_return.csv,regression,kimi_medium,models_saved_deep/dataset_return__kimi_medium.pt,False,3160,790,124,0.014310871237604437,0.00969845149666071,-1.049666404724121,0.489873417721519,,,,,,deep_learning,,,,,,,,,,,,,
dataset_return.csv,regression,kimi_large,models_saved_deep/dataset_return__kimi_large.pt,False,3160,790,124,0.011575567955324174,0.008657320402562618,-0.3410212993621826,0.4253164556962025,,,,,,deep_learning,,,,,,,,,,,,,
dataset_direction.csv,classification,tcn_small,models_saved_deep/dataset_direction__tcn_small.pt,False,3160,790,124,,,,,0.4620253164556962,0.5621301775147929,0.21300448430493274,0.3089430894308943,0.5068633329857128,deep_learning,,,,,,,,,,,0.25131391730999175,0.6957760837111245,0.2139240506329114
dataset_direction.csv,classification,tcn_medium,models_saved_deep/dataset_direction__tcn_medium.pt,False,3160,790,124,,,,,0.5088607594936709,0.5611814345991561,0.5964125560538116,0.5782608695652174,0.49442069037438735,deep_learning,,,,,,,,,,,0.25018004456934334,0.6935070193960722,0.6
dataset_direction.csv,classification,tcn_large,models_saved_deep/dataset_direction__tcn_large.pt,False,3160,790,124,,,,,0.4873417721518987,0.5667752442996743,0.3901345291479821,0.46215139442231074,0.5005898685994368,deep_learning,,,,,,,,,,,0.25002967971129286,0.6932065346234544,0.3886075949367089
dataset_direction.csv,classification,nbeats_small,models_saved_deep/dataset_direction__nbeats_small.pt,False,3160,790,124,,,,,0.5012658227848101,0.5860927152317881,0.3968609865470852,0.4732620320855615,0.5226561685264366,deep_learning,,,,,,,,,,,0.25213490127438365,0.697585857187541,0.3822784810126582
dataset_direction.csv,classification,nbeats_medium,models_saved_deep/dataset_direction__nbeats_medium.pt,False,3160,790,124,,,,,0.5139240506329114,0.5906432748538012,0.452914798206278,0.5126903553299492,0.5228647408488893,deep_learning,,,,,,,,,,,0.24980462332941133,0.6928113585361704,0.43291139240506327
dataset_direction.csv,classification,nbeats_large,models_saved_deep/dataset_direction__nbeats_large.pt,False,3160,790,124,,,,,0.46582278481012657,0.62,0.13901345291479822,0.2271062271062271,0.5140134529147982,deep_learning,,,,,,,,,,,0.2617655482352403,0.7186213879431612,0.12658227848101267
dataset_direction.csv,classification,kimi_small,models_saved_deep/dataset_direction__kimi_small.pt,False,3160,790,124,,,,,0.5379746835443038,0.5780346820809249,0.672645739910314,0.6217616580310881,0.5282159244968192,deep_learning,,,,,,,,,,,0.2487258906171733,0.6906657646770685,0.6569620253164556
dataset_direction.csv,classification,kimi_medium,models_saved_deep/dataset_direction__kimi_medium.pt,False,3160,790,124,,,,,0.46962025316455697,0.5467128027681661,0.3542600896860987,0.42993197278911566,0.5086036083011785,deep_learning,,,,,,,,,,,0.2578246682660771,0.7092903233706376,0.3658227848101266
dataset_direction.csv,classification,kimi_large,models_saved_deep/dataset_direction__kimi_large.pt,False,3160,790,124,,,,,0.49873417721518987,0.5548245614035088,0.5672645739910314,0.5609756097560976,0.47534935864010847,deep_learning,,,,,,,,,,,0.2524424880522272,0.6980456008198379,0.5772151898734177
dataset_volatility.csv,regression,tcn_small,models_saved_deep/dataset_volatility__tcn_small.pt,False,3160,790,124,0.011561000044451536,0.008604387752711773,-2.865185499191284,0.6873417721518987,,,,,,deep_learning,,,,,,,,,,,,,
dataset_volatility.csv,regression,tcn_medium,models_saved_deep/dataset_volatility__tcn_medium.pt,False,3160,790,124,0.006919449969609403,0.005333653185516596,-0.38459479808807373,1.0,,,,,,deep_learning,,,,,,,,,,,,,
dataset_volatility.csv,regression,tcn_large,models_saved_deep/dataset_volatility__tcn_large.pt,False,3160,790,124,0.005179266048887454,0.0030728320125490427,0.2242603898048401,1.0,,,,,,deep_learning,,,,,,,,,,,,,
dataset_volatility.csv,regression,nbeats_small,models_saved_deep/dataset_volatility__nbeats_small.pt,False,3160,790,124,0.012459121882184709,0.009609022177755833,-3.4890494346618652,0.889873417721519,,,,,,deep_learning,,,,,,,,,,,,,
dataset_volatility.csv,regression,nbeats_medium,models_saved_deep/dataset_volatility__nbeats_medium.pt,False,3160,790,124,0.009823003230633369,0.008031189441680908,-1.7904107570648193,0.9911392405063291,,,,,,deep_learning,,,,,,,,,,,,,
dataset_volatility.csv,regression,nbeats_large,models_saved_deep/dataset_volatility__nbeats_large.pt,False,3160,790,124,0.0076233355781987495,0.0062279533594846725,-0.6806203126907349,1.0,,,,,,deep_learning,,,,,,,,,,,,,
dataset_volatility.csv,regression,kimi_small,models_saved_deep/dataset_volatility__kimi_small.pt,False,3160,790,124,0.012542420056397663,0.00897240824997425,-3.5492749214172363,0.7506329113924051,,,,,,deep_learning,,,,,,,,,,,,,
dataset_volatility.csv,regression,kimi_medium,models_saved_deep/dataset_volatility__kimi_medium.pt,False,3160,790,124,0.01806706994358342,0.012155242264270782,-8.439630508422852,0.6354430379746835,,,,,,deep_learning,,,,,,,,,,,,,
dataset_volatility.csv,regression,kimi_large,models_saved_deep/dataset_volatility__kimi_large.pt,False,3160,790,124,0.011098063030964937,0.009696152992546558,-2.5618362426757812,0.3265822784810127,,,,,,deep_learning,,,,,,,,,,,,,
dataset_regime.csv,classification,tcn_small,models_saved_deep/dataset_regime__tcn_small.pt,False,3160,790,124,,,,,0.6050632911392405,0.4312977099236641,0.40942028985507245,0.4200743494423792,0.5904880730840805,deep_learning,,,,,,,,,,,0.24184392457499307,0.6790459947681944,0.33164556962025316
dataset_regime.csv,classification,tcn_medium,models_saved_deep/dataset_regime__tcn_medium.pt,False,3160,790,124,,,,,0.5835443037974684,0.4043321299638989,0.4057971014492754,0.4050632911392405,0.5676140528957311,deep_learning,,,,,,,,,,,0.2829775081353282,0.8476924603351911,0.35063291139240504
dataset_regime.csv,classification,tcn_large,models_saved_deep/dataset_regime__tcn_large.pt,False,3160,790,124,,,,,0.569620253164557,0.3888888888888889,0.4057971014492754,0.3971631205673759,0.5699402244403091,deep_learning,,,,,,,,,,,0.2874768684507722,0.8611655123563652,0.36455696202531646
dataset_regime.csv,classification,nbeats_small,models_saved_deep/dataset_regime__nbeats_small.pt,False,3160,790,124,,,,,0.5417721518987342,0.3712574850299401,0.4492753623188406,0.4065573770491803,0.5423574691253594,deep_learning,,,,,,,,,,,0.39969016621954495,2.3781335755845707,0.42278481012658226
dataset_regime.csv,classification,nbeats_medium,models_saved_deep/dataset_regime__nbeats_medium.pt,False,3160,790,124,,,,,0.5670886075949367,0.4,0.4782608695652174,0.43564356435643564,0.5737114419443975,deep_learning,,,,,,,,,,,0.35948946354157274,1.7853705826405601,0.4177215189873418
dataset_regime.csv,classification,nbeats_large,models_saved_deep/dataset_regime__nbeats_large.pt,False,3160,790,124,,,,,0.5556962025316455,0.4092009685230024,0.6123188405797102,0.49056603773584906,0.5799639090960357,deep_learning,,,,,,,,,,,0.4168697661577985,3.642600879308677,0.5227848101265823
dataset_regime.csv,classification,kimi_small,models_saved_deep/dataset_regime__kimi_small.pt,False,3160,790,124,,,,,0.5531645569620253,0.3793103448275862,0.4384057971014493,0.40672268907563025,0.5280268426098236,deep_learning,,,,,,,,,,,0.4062604374681899,1.6924042656949962,0.40379746835443037
dataset_regime.csv,classification,kimi_medium,models_saved_deep/dataset_regime__kimi_medium.pt,False,3160,790,124,,,,,0.5316455696202531,0.34121621621621623,0.36594202898550726,0.3531468531468531,0.509191902103423,deep_learning,,,,,,,,,,,0.3945903106205647,1.3423214762992166,0.37468354430379747
dataset_regime.csv,classification,kimi_large,models_saved_deep/dataset_regime__kimi_large.pt,False,3160,790,124,,,,,0.5556962025316455,0.38317757009345793,0.44565217391304346,0.4120603015075377,0.535146337337168,deep_learning,,,,,,,,,,,0.41919626978337415,2.258232731040108,0.40632911392405063
